idPrd	codePrd	libPrd	prixAchat	puVente	ccQteStock
320	3337875917407	LRP ANT FLUIDE ANTI-TACHES	550	830	0
321	3282770203929	DUC DEXYANE BAUM 400ML	650	980	0
322	3282770053029	DUC DEXYANE GEL NETTOYAN 400ML	470	690	0
323	3337875663076	VICHY NORMADERM INTENSIV GEL 200ML	360	540	0
324	3337875663083	VICHY NORMADERM GEL INTENSIVE 400ML	480	750	0
325	3282770389234	MELASCREEN CONT YEUX 15ML	620	950	0
326	3700281703283	CICA CREME APAISANTE 100ML	350	550	0
327	3662361002726	SVR SEBIACLEAR CR MAT+PORES 40ML	320	540	0
328	733739065124	NOW GLUCOMANNAN	660	1220	0
329	810141910225	AC 10% GLYCOLIC ACID LACTIC ACID	665	1240	0
330	818901028487	EVL WHEY PROTEIN	900	1600	0
331	898220025121	CGN VITAMIN D3 + K2	200	510	0
332	087614170954	SWANSON OMEGA3 CONCENTRATE	675	1300	0
333	5999566330421	GG hydration station	430	770	0
334	5999566330292	GG A GAME RETINOL 0.1%	880	1600	0
335	minoxidil	MINOXIDIL	270	550	0
336	X0023ETFPF	TEETH WHITENING STRIPS	220	320	0
337	3401395376874	BIODERMA CREALINE H2O 100ML	190	290	0
338	3701129805329	BIODERMA ATODERM CREME ULTRA	275	450	0
339	3337875904513	CERAVE GEL CREME OIL CONTROL 52ML	380	580	0
340	3596490000066	RC SAVON L ORIGINAL 150G	110	170	0
341	3662361000401	SVR VIT C AMPOUL 30ML	1110	1680	0
342	3337875761031	LRP ANTI AGE CORRECT SPF50+	750	1130	0
343	3760095250168	ACM NOVAPHANE	570	950	0
344	00004444+	parfum voiture	1200	2000	0
345	868051628408	BIOBLAS CAFFEINE+GINSENG	130	320	0
346	3701129802069	BIODERMA ATODERM INTENSIVER BAUME T200ML	460	690	0
347	3337875696548	LRP LIPIKAR AP+M 400ML	655	1090	0
348	3282770205633	AVENE CICALFATE+	300	550	0
349	3701129803721	PHOTODERM MINERALFLUIDE 50+	1150	1750	0
350	3282770389296	DUC MELASCREEN CREM ANTI TACHTE 50+	630	975	0
351	4005800303647+	EUCERIN ANTI PIGMENT SUREM ECLAT	1360	1850	0
352	3337875920582	LRP HYALU B5 SERUM	1010	1570	0
353	4066447888683	BALEA DEDERON	100	120	0
354	3282770141351	DUC KERACNYL GEL NOTTOYANT 200ML	370	570	0
355	3337872414145	LRP CICAPLAST MAINS	270	550	0
356	3337875837804	LRP CICAPLAST B5 SERUM	990	1550	0
357	3337875708265	LRP EFFACLAR 200ML	350	650	0
358	3662361002467	SVR CREME RICHE DENSITIUM 50ML	1410	2150	0
359	3662361001897	SVR GEL LAVANT TOPIALYSE 400ML	410	720	0
360	+3760095250281+	ACM SEDIONEX K	600	950	0
361	4005800119361	EUC IOL CONTROL 50+	900	1650	0
362	850034069944	SB KERATIN RASPBERY OIL SHAMPOOI	400	800	0
363	716237183590	GIO ULTRA SLEEK SHAMPOO	440	880	0
364	813606022167	CL BODY EXFOLIATOR	260	490	0
365	4005800213052	EUC ANTI PIGMENT SOIN DE NUIT 50ML	1190	1740	0
366	4005800294808	EUC FILLER SION DE NUIT 50ML	1190	1740	0
367	4005800238963	EUC SUN PIGMENT CONTROL FLUID 50+	740	1150	0
368	4005800065545	EUC SUN SENSITIVE PROTECT CREME 50+	680	1080	0
