product_id,code,name,cached_stock,actual_stock,difference,status,issue
41,4005800147388,EUC SUN HYDRO PROTECT FLUIDE ULTRA-LEGER SPF 50+T-,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
42,3282770145175,DUC KERACNYL UV SPF50+ FLUID 50ML,10.0,2.0,-8.0,MISMATCH,CACHE_MISMATCH
43,3282770205626,DUC ICTYANE ECLAT LAIT 400ML,10.0,2.0,-8.0,MISMATCH,CACHE_MISMATCH
44,3282770208849,DUC ICTYANE PAIN  100 G,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
45,3282779370660,DUC ICTYANE STICK LEVRE TREALO 3G,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
46,3282770141320,DUC KERACNYL SOIN PP 30ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
47,3282770075533,DUC ANAPHASE SHP 200 ML,10.0,2.0,-8.0,MISMATCH,CACHE_MISMATCH
48,3282770204780,DUC ICTYANE LAIT HYDRATANT 400 ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
49,3282770389593,DUC MELASCREEN SERUM ECLAT 40ML,10.0,2.0,-8.0,MISMATCH,CACHE_MISMATCH
50,3282770389272,DUC MELASCREEN FLUIDE 50+ 50ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
51,3282770141382,DUC KERACNYL GEL MOUSANT 400 ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
52,3282770073683,DUC ANAPHAS APRES SHAMPO 200ML,10.0,2.0,-8.0,MISMATCH,CACHE_MISMATCH
53,3282770203455,DUC ICTYANE CREME MAINS 50 ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
54,3282770114096,AVN TriXera PAIN COLD CR 100G,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
55,3282770207811,AVN CLEANANCE EAU MICELLAIRE 400 ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
56,3282770390414,AVN CLEANANCE COMEDOMED ANTI-IMP 30ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
57,3282770392654,AVN ULTRA FLUIDE 50+ 50ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
58,3282770019919,AVN CLEANANCE SAVON 100G,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
59,3282770389883,AVN XERACALM HUILE 400 ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
60,3282770393477,AVN VITAMIN ACTIV Cg SERUM 30ML,10.0,1.0,-9.0,MISMATCH,CACHE_MISMATCH
61,3282770207774,AVN CLEANANCE GEL 400 ML,10.0,0.0,-10.0,MISMATCH,CACHE_MISMATCH
